Tiempo,Carga,Extensión de tracción
(s),(N),(mm)
29.3,9924.39648,0.17329
29.4,9936.49219,0.17619
29.5,9948.89746,0.17916
29.6,9960.87793,0.1822
29.7,9971.35449,0.185
29.8,9982.08105,0.1879
29.9,9993.15723,0.1909
30,10005.07324,0.19385
30.1,10017.18652,0.19686
30.2,10028.74121,0.19975
30.3,10039.55078,0.20264
30.4,10049.70801,0.20556
30.5,10060.71387,0.20861
30.6,10072.02441,0.21181
30.7,10084.29297,0.21478
30.8,10095.43262,0.21767
30.9,10105.11719,0.22065
31,10115.6875,0.22373
31.1,10126.31738,0.22679
31.2,10138.26758,0.22979
31.3,10148.7334,0.2329
31.4,10158.53418,0.23567
31.5,10168.84668,0.23873
31.6,10179.63672,0.24184
31.7,10190.81934,0.24488
31.8,10201.85449,0.24786
31.9,10212.07422,0.25074
32,10221.48633,0.25369
32.1,10232.30664,0.25679
32.2,10242.96777,0.25998
32.3,10254.0918,0.26292
32.4,10264.25195,0.26601
32.5,10273.36035,0.26909
32.6,10283.08301,0.27212
32.7,10293.3877,0.27517
32.8,10304.21875,0.2783
32.9,10315.1709,0.28136
33,10324.2168,0.2843
33.1,10333.69336,0.28739
33.2,10343.23633,0.29052
33.3,10354.02832,0.29365
33.4,10365.02734,0.29651
33.5,10374.73438,0.29939
33.6,10383.57715,0.30252
33.7,10393.29688,0.30561
33.8,10403.4375,0.30862
33.9,10414.41406,0.31168
34,10424.85156,0.31464
34.1,10433.14453,0.31768
34.2,10442.08203,0.32098
34.3,10451.50293,0.32423
34.4,10462.74121,0.32729
34.5,10472.73047,0.33023
34.6,10482.40918,0.33326
34.7,10490.37109,0.33653
34.8,10499.9209,0.33966
34.9,10509.95703,0.34278
35,10520.6123,0.34575
35.1,10530.60742,0.34883
35.2,10539.10059,0.35196
35.3,10547.91211,0.3551
35.4,10556.55078,0.35822
35.5,10566.98926,0.36122
35.6,10576.79395,0.36418
35.7,10586.05566,0.36751
35.8,10594.0625,0.3707
35.9,10602.83594,0.37378
36,10612.87695,0.38011
36.1,10623.39648,0.38841
36.2,10632.37598,0.39682
36.3,10640.77539,0.40518
36.4,10648.41113,0.41337
36.5,10657.94922,0.42173
36.6,10668.16797,0.43009
36.7,10678.08691,0.4385
36.8,10686.38965,0.44686
36.9,10693.73535,0.45511
37,10703.05469,0.46336
37.1,10712.34766,0.47171
37.2,10722.23047,0.48012
37.3,10730.85352,0.48853
37.4,10738.55371,0.49678
37.5,10746.36133,0.50503
37.6,10755.88574,0.51339
37.7,10765.75977,0.5217
37.8,10775.17188,0.53011
37.9,10783.29492,0.53852
38,10790.70898,0.54682
38.1,10799.1377,0.55507
38.2,10808.26465,0.56337
38.3,10818.48535,0.57173
38.4,10826.83008,0.5802
38.5,10834.07715,0.58855
38.6,10841.5127,0.59675
38.7,10849.83105,0.60511
38.8,10859.44824,0.61341
38.9,10869.03516,0.62182
39,10876.14355,0.63018
39.1,10882.84766,0.63848
39.2,10890.90723,0.64673
39.3,10900.82324,0.65509
39.4,10909.77832,0.66345
39.5,10918.16895,0.67186
39.6,10924.63086,0.68011
39.7,10932.51953,0.68836
39.8,10941.2627,0.69677
39.9,10950.34961,0.70512
40,10958.19922,0.71353
40.1,10965.49609,0.72184
40.2,10972.69727,0.73014
40.3,10980.77637,0.73839
40.4,10989.77148,0.7467
40.5,10998.83496,0.75511
40.6,11006.36426,0.76352
40.7,11012.53516,0.77182
40.8,11020.47754,0.78007
40.9,11028.22754,0.78837
41,11036.97363,0.79673
41.1,11045.17383,0.80514
41.2,11050.76758,0.81355
41.3,11058.05762,0.82175
41.4,11066.18262,0.83011
41.5,11074.19824,0.83841
41.6,11082.16699,0.84677
41.7,11087.72266,0.85523
41.8,11090.68164,0.86353
41.9,11099.54102,0.87173
42,11109.09082,0.88003
42.1,11120.46484,0.88845
42.2,11128.18164,0.89686
42.3,11134.12793,0.90516
42.4,11140.81738,0.91341
42.5,11149.01367,0.92171
42.6,11157.53125,0.93002
42.7,11165.48828,0.93843
42.8,11171.89453,0.94684
42.9,11178.0752,0.95514
43,11185.61426,0.96345
43.1,11193.30078,0.97175
43.2,11201.09473,0.98011
43.3,11207.87695,0.98852
43.4,11214.7002,0.99687
43.5,11220.70117,1.00507
43.6,11228.375,1.01337
43.7,11236.68848,1.02173
43.8,11244.58984,1.03009
43.9,11249.89355,1.03845
44,11256.17383,1.0468
44.1,11263.13965,1.055
44.2,11270.98145,1.06336
44.3,11279.22168,1.07177
44.4,11285.15332,1.08018
44.5,11290.80957,1.08853
44.6,11296.42871,1.09668
44.7,11304.98535,1.10503
44.8,11312.6582,1.11339
44.9,11319.04395,1.12186
45,11324.45996,1.13021
45.1,11329.76172,1.13841
45.2,11336.89355,1.14671
45.3,11344.99512,1.15502
45.4,11351.83105,1.16343
45.5,11357.68359,1.17184
45.6,11363.84473,1.1802
45.7,11369.76562,1.18845
45.8,11376.50293,1.1967
45.9,11384.13281,1.20505
46,11390.85742,1.21346
46.1,11395.46191,1.22187
46.2,11400.69434,1.23012
46.3,11407.12109,1.23837
46.4,11414.43457,1.24673
46.5,11421.28516,1.25509
46.6,11426.79395,1.26355
46.7,11431.43945,1.27186
46.8,11437.63574,1.28
46.9,11445.3125,1.28836
47,11452.09082,1.29677
47.1,11458.05176,1.30518
47.2,11462.39941,1.31348
47.3,11467.75488,1.32173
47.4,11474.22461,1.32998
47.5,11481.65039,1.33839
47.6,11488.12402,1.3468
47.7,11491.64062,1.35521
47.8,11496.86621,1.36346
47.9,11503.68945,1.37171
48,11509.3457,1.38002
48.1,11516.09082,1.38843
48.2,11521.7373,1.39689
48.3,11526.26465,1.4052
48.4,11531.06934,1.41334
48.5,11537.86719,1.42175
48.6,11543.78906,1.43011
48.7,11549.86133,1.43846
48.8,11554.74121,1.44687
48.9,11558.43164,1.45512
49,11564.05371,1.46337
49.1,11571.04297,1.47168
49.2,11577.01562,1.48014
49.3,11581.73926,1.48855
49.4,11585.58496,1.49686
49.5,11590.55273,1.50505
49.6,11596.76855,1.51336
49.7,11602.6748,1.52177
49.8,11608.06445,1.53012
49.9,11612.6543,1.53848
50,11616.69336,1.54673
50.1,11622.80176,1.55503
50.2,11628.76465,1.56334
50.3,11634.27344,1.5718
50.4,11638.47266,1.58021
50.5,11642.55176,1.58852
50.6,11646.8877,1.59671
50.7,11652.7207,1.60507
50.8,11658.0459,1.61343
50.9,11663.90918,1.62184
51,11667.30176,1.63014
51.1,11671.79004,1.63845
51.2,11676.46973,1.64675
51.3,11682.23535,1.65505
51.4,11687.51855,1.66346
51.5,11691.32129,1.67187
51.6,11695.3877,1.68012
51.7,11700.29785,1.68837
51.8,11705.14453,1.69673
51.9,11710.29688,1.70509
52,11714.70996,1.71355
52.1,11717.70898,1.72186
52.2,11721.78125,1.73011
52.3,11726.82031,1.73841
52.4,11732.7002,1.74677
52.5,11736.65234,1.75512
52.6,11740.36133,1.76353
52.7,11743.6875,1.77178
52.8,11748.30664,1.77998
52.9,11753.39746,1.78834
53,11758.83691,1.79675
53.1,11762.50293,1.80516
53.2,11766.33789,1.81346
53.3,11770.3584,1.82171
53.4,11774.08105,1.83002
53.5,11778.76562,1.83843
53.6,11783.24219,1.84678
53.7,11786.66602,1.85519
53.8,11790.0625,1.8635
53.9,11793.74512,1.8717
54,11798.63086,1.88005
54.1,11803.01074,1.88841
54.2,11806.81836,1.89682
54.3,11810.07715,1.90518
54.4,11813.25488,1.91337
54.5,11817.56836,1.92168
54.6,11822.63672,1.93009
54.7,11826.72266,1.9385
54.8,11829.9248,1.94686
54.9,11831.91602,1.95511
55,11836.87402,1.96341
55.1,11840.51074,1.97171
55.2,11845.17188,1.98018
55.3,11847.79688,1.98859
55.4,11850.17871,1.99684
55.5,11853.4834,2.00503
55.6,11858.10352,2.01339
55.7,11861.6748,2.02175
55.8,11865.47852,2.03016
